date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:10:06	24920/24920	---MCZ	200	added ('OK')	text/html	etag:W/%226158-CmN54W76mZwxPl20nYVdMDtHlyg%22	https://shor.by/Ausl	C:/Users/XE/Desktop/3/shor.by/Ausl.html	(from )
23:10:07	509/509	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%223fc-wfIsxMMRoXb/BI/0JURx0blSf9o%22	https://shor.by/robots.txt		(from )
23:10:07	2100/2100	---M--	200	added ('OK')	image/png	etag:W/%22834-16c763b8587%22	https://shor.by/touch-icons/apple-touch-icon-iphone-60x60.png	C:/Users/XE/Desktop/3/shor.by/touch-icons/apple-touch-icon-iphone-60x60.png	(from https://shor.by/Ausl)
23:10:08	2548/2548	---M--	200	added ('OK')	image/png	etag:W/%229f4-16c763b8587%22	https://shor.by/touch-icons/apple-touch-icon-ipad-76x76.png	C:/Users/XE/Desktop/3/shor.by/touch-icons/apple-touch-icon-ipad-76x76.png	(from https://shor.by/Ausl)
23:10:08	4639/4639	---M--	200	added ('OK')	image/png	etag:W/%22121f-16c763b8587%22	https://shor.by/touch-icons/apple-touch-icon-iphone-retina-120x120.png	C:/Users/XE/Desktop/3/shor.by/touch-icons/apple-touch-icon-iphone-retina-120x120.png	(from https://shor.by/Ausl)
23:10:08	6033/6033	---M--	200	added ('OK')	image/png	etag:W/%221791-16c763b8587%22	https://shor.by/touch-icons/apple-touch-icon-ipad-retina-152x152.png	C:/Users/XE/Desktop/3/shor.by/touch-icons/apple-touch-icon-ipad-retina-152x152.png	(from https://shor.by/Ausl)
23:10:08	10083/10083	---M--	200	added ('OK')	text/css	etag:W/%222763-177196325e8%22	https://shor.by/css/main.css	C:/Users/XE/Desktop/3/shor.by/css/main.css	(from https://shor.by/Ausl)
23:10:10	196673/196673	---M--	200	added ('OK')	application/javascript	etag:W/%2230041-1747d06620e%22	https://shor.by/smartpage.js?dc02a640	C:/Users/XE/Desktop/3/shor.by/smartpage49ef.js	(from https://shor.by/Ausl)
23:10:10	158/158	---M--	302	error ('Found')	text/html	date:Mon,%2005%20Apr%202021%2018:10:10%20GMT	https://shor.by/2iRi	C:/Users/XE/Desktop/3/shor.by/2iRi.8.delayed	(from https://shor.by/Ausl)
23:10:10	104/104	---M--	302	error ('Found')	text/html	date:Mon,%2005%20Apr%202021%2018:10:10%20GMT	https://shor.by/JSzu	C:/Users/XE/Desktop/3/shor.by/JSzu	(from https://shor.by/Ausl)
23:10:10	246637/246637	---M--	200	added ('OK')	text/css	etag:W/%223c36d-1747d06620e%22	https://shor.by/css/shorby-page.css?dc02a640	C:/Users/XE/Desktop/3/shor.by/css/shorby-page49ef.css	(from https://shor.by/Ausl)
23:10:10	106/106	---M--	302	error ('Found')	text/html	date:Mon,%2005%20Apr%202021%2018:10:10%20GMT	https://shor.by/2PAu	C:/Users/XE/Desktop/3/shor.by/2PAu	(from https://shor.by/Ausl)
23:10:11	1434/1434	---MCZ	200	added ('OK')	text/html	etag:W/%2259a-tRVTPPmM8uXlS3qZNxoEV5Nr2HA%22	https://shor.by/QTz3	C:/Users/XE/Desktop/3/shor.by/QTz3.html	(from https://shor.by/Ausl)
23:10:11	104/104	---M--	302	error ('Found')	text/html	date:Mon,%2005%20Apr%202021%2018:10:11%20GMT	https://shor.by/XvKS	C:/Users/XE/Desktop/3/shor.by/XvKS	(from https://shor.by/Ausl)
23:10:11	1434/1434	---MCZ	200	added ('OK')	text/html	etag:W/%2259a-etjSvwVRYyEiiewMerJKEZvmCNs%22	https://shor.by/qo8e	C:/Users/XE/Desktop/3/shor.by/qo8e.html	(from https://shor.by/Ausl)
23:10:11	108/108	---M--	302	error ('Found')	text/html	date:Mon,%2005%20Apr%202021%2018:10:11%20GMT	https://shor.by/Q5hb	C:/Users/XE/Desktop/3/shor.by/Q5hb	(from https://shor.by/Ausl)
23:10:12	132/132	---M--	302	error ('Found')	text/html	date:Mon,%2005%20Apr%202021%2018:10:11%20GMT	https://shor.by/0ahA	C:/Users/XE/Desktop/3/shor.by/0ahA	(from https://shor.by/Ausl)
